GID_1,GID_2,POP_ZONE,LPC,LPC_PCT_CHANGE,YEAR,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,MEAN_NO2,MEAN_CO,MEAN_HCHO,FOREST_GROWTH,ECON_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.1_1,VNM.1.10_1,rural,0.014753200554279536,83.76549996454669,2018,1.0407659675480518,3.4454908969651754,1.3474517633280275e-12,19.071613314080516,79557.515625,3.487936761901045,6.0823956961323576e-05,0.0347350610070254,0.0001096097976123,-3.4968008688029073,58.6890243902439,1.8292682926829267,46.40243902439025,16.158536585365855,21.46341463414634,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,0.014706324753754225,-0.31773309359448554,2019,1.43839174914826,3.714418161176969,9.133942918708899e-13,-32.213210392413096,79549.65625,-0.009878859260825656,5.803796325964224e-05,0.0361300451748446,0.0001106025730311,6.575192022181708,31.32621951219512,87.5,66.25,55.868902439024396,69.8729674796748,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,0.01611536829033154,9.581207814805094,2020,-0.06629195925956788,-2.555813270610152,4.595143783299374e-13,-49.69156448430152,80265.60315624998,0.8999999999999897,5.84933455375688e-05,0.0363186080361481,0.0001167713267792,-0.16000000000000458,49.84756097560976,50.838414634146346,62.5,49.390243902439025,54.242886178861795,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,0.01974410302168368,22.517231167029617,2021,-10.440738378514203,-1.927428606831838,5.049923961974663e-13,9.89697385157231,80907.72798149998,0.8000000000000007,6.172307973701726e-05,0.0345041169933237,9.971432314799968e-05,-0.16100000000000003,33.15548780487805,52.21036585365854,65.3658536585366,58.15548780487805,58.577235772357724,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,0.029311476215509637,54.98850051455007,2018,1.0292351790929244,3.4454908969651754,9.83921798381371e-13,23.190912229254536,186198.990234375,0.016450687894309368,6.105897791394722e-05,0.0347064577822235,0.0001120679463589,-1.466127208991641,58.03183791606367,2.7496382054992763,44.31259044862519,16.570188133140377,21.210805595754945,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,0.03223854791325492,9.986094443774473,2019,1.4140866459229517,3.714418161176969,6.67041734382065e-13,-32.205818035599854,186039.68359375,-0.08555719900761316,5.822210856577436e-05,0.0361354336667263,0.0001102645291537,6.419938118286006,43.05354558610709,90.73806078147612,65.67293777134589,53.03907380607814,69.81669078630004,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,0.03519750078708354,9.178306919375977,2020,-0.043808075284279546,-2.555813270610152,3.390590270075281e-13,-49.169743131346046,185952.695800781,-0.04675765475873339,5.8571187521097925e-05,0.0362992666133592,0.0001176873628867,-0.16000000000000458,45.65846599131693,49.782923299565844,62.05499276410998,48.04630969609262,53.29474191992282,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,0.039297698980641754,11.649117414219567,2021,-10.361027877232342,-1.927428606831838,3.7224852768176914e-13,9.788708758815655,187440.31736718724,0.8000000000000007,6.179635172645601e-05,0.0345339186504191,9.987280572642398e-05,-0.16100000000000003,28.292329956584663,49.131693198263385,65.23878437047757,57.23589001447178,57.20212252773758,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,0.0401366164951697,51.03068915902567,2018,1.0234688280357451,3.2324338810183706,5.523949876205276e-13,25.918204337295148,106760.7109375,-2.321919699218289,6.147769340425371e-05,0.0346554980138983,0.0001164474067695,1.3440958066394781,53.88059701492537,15.82089552238806,43.40298507462687,18.208955223880594,25.810945273631837,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,0.045288180615336994,12.835073232411776,2019,1.4019299963694554,3.855406374439818,3.746544819440609e-13,-32.17634295381533,106622.486328125,-0.12947142086372487,5.8550183536469504e-05,0.036145033853412,0.0001096622670732,6.212903515467172,40.8955223880597,85.07462686567165,66.86567164179104,50.67164179104478,67.53731343283582,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,0.04882346794700544,7.806203039366988,2020,-0.032558298719398415,-2.555795149877671,1.8877580303543291e-13,-49.613360540654426,107582.08870507812,0.8999999999999897,5.870987151474176e-05,0.0362648077566662,0.0001193193812392,-0.15999999999999348,39.4776119402985,93.88059701492537,63.462686567164184,47.91044776119403,68.41791044776119,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,0.053203088695860025,8.970318850779634,2021,-10.321158309613077,-1.897192442722495,2.0753401296311209e-13,9.936766061145175,108442.74541471874,0.8000000000000007,6.192689377660548e-05,0.0345870135567385,0.0001001551597454,-0.16099999999998893,22.761194029850746,93.2089552238806,66.80597014925374,57.01492537313433,72.34328358208955,An Giang,Mekong River Delta,Thoai Son,#00AAAE
