GID_1,GID_2,POP_ZONE,YEAR,LUMINOSITY_SUM,LOG_LUMINOSITY_SUM,LUMINOSITY_PCT_CHANGE,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,MEAN_NO2,MEAN_CO,MEAN_HCHO,MEAN_FOREST_COVERAGE,ECON_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.1_1,VNM.1.10_1,rural,2018,1173.7427368164072,7.067952842487486,90.17504101857767,1.0407659675480518,3.4454908969651754,1.3474517633280275e-12,19.071613314080516,79557.515625,3.487936761901045,6.0823956961323576e-05,0.0347350610070254,0.0001096097976123,5.744119937694704,81.78353658536585,10.518292682926829,46.40243902439025,16.158536585365855,24.359756097560975,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,2019,1169.8977851867683,7.064671660887193,-0.3275804406737137,1.43839174914826,3.714418161176969,9.133942918708899e-13,-32.213210392413096,79549.65625,-0.009878859260825656,5.803796325964224e-05,0.0361300451748446,0.0001106025730311,6.121806853582554,50.266768292682926,10.365853658536585,66.25,55.868902439024396,44.16158536585366,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,2020,1293.5258712768566,7.165127002413199,10.567426287618087,-0.06629195925956788,-2.555813270610152,4.595143783299374e-13,-49.69156448430152,80265.60315624998,0.8999999999999897,5.84933455375688e-05,0.0363186080361481,0.0001167713267792,6.112011962616822,65.41539634146342,10.365853658536585,62.5,49.390243902439025,40.7520325203252,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,rural,2021,1597.4702606201167,7.376176569878166,23.497356805336445,-10.440738378514203,-1.927428606831838,5.049923961974663e-13,9.89697385157231,80907.72798149998,0.8000000000000007,6.172307973701726e-05,0.0345041169933237,9.971432314799968e-05,6.102171623357009,56.726371951219505,10.365853658536585,65.3658536585366,58.15548780487805,44.6290650406504,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,2018,5457.79658508301,8.604800431442774,55.013997052087625,1.0292351790929244,3.4454908969651754,9.83921798381371e-13,23.190912229254536,186198.990234375,0.016450687894309368,6.105897791394722e-05,0.0347064577822235,0.0001120679463589,6.583952187182096,63.02460202604921,15.629522431259044,44.31259044862519,16.570188133140377,25.50410033767487,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,2019,5997.6814918518085,8.69912825550681,9.891993927446595,1.4140866459229517,3.714418161176969,6.67041734382065e-13,-32.205818035599854,186039.68359375,-0.08555719900761316,5.822210856577436e-05,0.0361354336667263,0.0001102645291537,7.0066378433367245,54.66714905933429,15.48480463096961,65.67293777134589,53.03907380607814,44.73227206946454,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,2020,6545.105354309081,8.786472775129509,9.127257977953306,-0.043808075284279546,-2.555813270610152,3.390590270075281e-13,-49.169743131346046,185952.695800781,-0.04675765475873339,5.8571187521097925e-05,0.0362992666133592,0.0001176873628867,6.995427222787385,57.30824891461649,15.48480463096961,62.05499276410998,48.04630969609262,41.8620356970574,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,2021,7366.012466430661,8.904631789432395,12.542305550224974,-10.361027877232342,-1.927428606831838,3.7224852768176914e-13,9.788708758815655,187440.31736718724,0.8000000000000007,6.179635172645601e-05,0.0345339186504191,9.987280572642398e-05,6.984164584958697,51.0492040520984,15.48480463096961,65.23878437047757,57.23589001447178,45.986493005306315,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,2018,4285.053848266602,8.362888397642909,47.52390991998918,1.0234688280357451,3.2324338810183706,5.523949876205276e-13,25.918204337295148,106760.7109375,-2.321919699218289,6.147769340425371e-05,0.0346554980138983,0.0001164474067695,8.164589442815249,52.201492537313435,20.746268656716417,43.40298507462687,18.208955223880594,27.45273631840796,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,2019,4828.78370666504,8.482349894368252,12.68898542823187,1.4019299963694554,3.855406374439818,3.746544819440609e-13,-32.17634295381533,106622.486328125,-0.12947142086372487,5.8550183536469504e-05,0.036145033853412,0.0001096622670732,8.671847507331378,55.7089552238806,21.19402985074627,66.86567164179104,50.67164179104478,46.24378109452736,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,2020,5252.579483032225,8.566474565023933,8.776449766889138,-0.032558298719398415,-2.555795149877671,1.8877580303543291e-13,-49.613360540654426,107582.08870507812,0.8999999999999897,5.870987151474176e-05,0.0362648077566662,0.0001193193812392,8.657972551319649,54.720149253731336,21.19402985074627,63.462686567164184,47.91044776119403,44.189054726368155,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,2021,5769.542205810545,8.66034801594041,9.842073298429877,-10.321158309613077,-1.897192442722495,2.0753401296311209e-13,9.936766061145175,108442.74541471874,0.8000000000000007,6.192689377660548e-05,0.0345870135567385,0.0001001551597454,8.644033215512025,47.44402985074626,21.19402985074627,66.80597014925374,57.01492537313433,48.33830845771144,An Giang,Mekong River Delta,Thoai Son,#00AAAE
